BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,10800,125732,184667,DebtCon,Other,7,0,0,212.2234688,0,19,33.92078997
0,10800,80203,98731,DebtCon,Other,4,0,0,113.4251457,2,31,41.47407381
0,10800,67740,108135,DebtCon,Office,11,0,0,163.2738318,1,12,38.38349838
0,10800,56477,94980,HomeImp,Other,17,0,0,179.9173626,0,28,25.21073966
0,10800,61791,78361,DebtCon,Office,5,0,0,94.51806778,2,15,28.08852465
0,10800,83441,92148,DebtCon,Mgr,5,0,0,119.145844,1,26,40.97863532
0,10800,13365,66979,HomeImp,Other,9,2,1,346.9796514,1,22,16.48162968
0,10800,42191,57224,DebtCon,Other,15,0,0,68.81082617,0,11,30.51822975
0,10900,22513,52355,HomeImp,Other,1,0,0,248.5834087,0,10,39.20462501
0,10900,17282,70783,DebtCon,ProfExe,19,0,1,404.9043933,0,11,23.61012437
0,10900,59029,76120,DebtCon,Other,2,0,0,231.7341444,0,10,36.02568383
0,10900,116030,125179,DebtCon,Self,6,0,0,177.0858449,0,19,33.84909254
0,11000,14046,34777,DebtCon,Other,5,0,0,256.634152,0,11,22.44794332
0,11000,88252,112567,DebtCon,Other,11,0,0,224.7155765,2,15,39.52685236
0,11000,76958,88607,DebtCon,ProfExe,9,0,0,175.4118267,0,12,39.21677518
0,11000,21738,86586,HomeImp,ProfExe,20,0,0,241.0607911,0,10,25.21859995
0,11000,57554,68222,DebtCon,ProfExe,14,0,0,215.4317939,3,32,36.5693479
0,11000,21780,85505,HomeImp,ProfExe,19,0,0,240.682581,0,10,24.40433511
0,11000,50716,61492,DebtCon,Other,3,0,1,90.23032976,0,20,38.25586202
1,11000,77517,86214,HomeImp,ProfExe,2,2,0,352.3791379,0,28,28.03021421
0,11000,54641,65705,DebtCon,Other,5,0,0,323.1929276,0,10,33.29962839
0,11000,85758,108661,HomeImp,Mgr,11,0,0,255.2874154,0,24,29.43486714
0,11000,83639,98081,DebtCon,Other,10,0,0,155.3712203,4,22,42.53968571
0,11000,50178,64427,DebtCon,Other,5,0,0,67.63628905,1,11,28.68992836
1,11000,85008,73223,HomeImp,Mgr,7,0,2,197.1200454,0,23,41.44105202
0,11000,92521,110704,DebtCon,Other,13,0,0,208.8984853,2,16,39.25043329
0,11100,79226,88112,DebtCon,ProfExe,10,0,1,179.6482736,1,12,40.67090473
0,11100,72402,86584,DebtCon,Mgr,8,0,0,102.9720787,0,22,29.6557132
0,11100,27861,47737,HomeImp,Other,8,0,0,89.49211666,0,4,34.05094936
0,11100,82329,100139,HomeImp,ProfExe,5,0,0,108.5325636,0,26,26.0992587
0,11100,61856,77275,HomeImp,Other,4,0,1,243.7137741,1,16,36.56411956
0,11100,53232,86703,HomeImp,Other,16,0,0,183.2062075,0,29,26.87488997
0,11100,56999,67427,HomeImp,Other,8,0,0,139.513915,0,16,35.8924361
0,11100,67366,102936,DebtCon,Other,9,0,0,213.2814957,0,20,19.07865117
0,11100,48031,107561,DebtCon,ProfExe,5,0,1,226.7811051,0,9,24.19032663
0,11100,43167,60209,DebtCon,Other,3,0,1,80.36819698,0,20,37.49079883
0,11200,93649,113833,DebtCon,Other,13,0,0,205.1172457,3,16,39.12613026
0,11200,29348,87351,HomeImp,ProfExe,20,0,0,224.3948946,0,11,26.1296273
0,11200,68890,84059,DebtCon,Office,12,0,0,254.0196894,3,36,41.4339438
0,11200,17411,86102,DebtCon,Other,10,0,0,267.9701095,0,13,22.08919992
0,11200,62752,73003,DebtCon,ProfExe,13,0,0,226.5659049,3,31,38.33979805
0,11200,65508,103523,DebtCon,Office,12,0,0,154.4273677,0,12,37.5754361
0,11200,19496,73140,DebtCon,ProfExe,20,0,1,399.2426919,1,12,23.37450457
0,11300,57377,75038,DebtCon,Office,4,0,0,91.21996117,1,15,25.14027972
0,11300,61810,79817,DebtCon,Office,6,0,0,98.2241442,1,14,25.52507894
0,11300,62168,80681,DebtCon,Sales,6,0,0,117.3762292,0,34,27.69452127
0,11300,77926,89216,DebtCon,Mgr,6,0,0,146.8101541,2,26,39.46696422
0,11300,129489,195105,HomeImp,Office,0,0,1,356.3134858,0,16,41.63401796
0,11300,66814,82021,DebtCon,Office,4,2,3,173.7118385,3,29,38.55692945
0,11300,16115,69113,DebtCon,ProfExe,22,0,2,403.5149997,0,12,22.16824452
1,11300,62568,79009,HomeImp,Office,4,0,3,295.3346697,0,19,28.60025223
0,11300,78902,100332,DebtCon,ProfExe,4,0,0,116.9987995,0,26,34.68307147
0,11400,55965,78051,DebtCon,Office,6,0,0,96.29202022,2,14,27.17323223
0,11400,59813,72873,DebtCon,ProfExe,13,0,0,234.3302405,4,31,39.35147085
0,11400,56789,74016,HomeImp,Other,7,0,0,127.6254746,0,16,33.02714356
0,11400,51203,60716,DebtCon,Other,2,0,0,99.10408262,0,20,38.23531293
0,11400,64934,74875,DebtCon,Other,3,0,0,192.3144827,2,16,34.34375572
0,11400,50166,61395,DebtCon,Other,1,0,0,188.8866824,1,12,26.95045128
0,11500,53651,87547,HomeImp,Other,18,0,0,191.3968875,0,16,34.36865089
0,11500,116430,215014,HomeImp,ProfExe,3,0,0,132.0936343,0,14,26.86456847
0,11500,70409,89099,DebtCon,ProfExe,9,0,0,169.401652,0,11,40.17443006
0,11500,61264,75647,DebtCon,Office,11,0,0,262.8901879,3,36,39.5478827
0,11500,64371,73636,DebtCon,ProfExe,2,0,0,162.1162539,1,35,39.79119896
0,11500,29281,37717,HomeImp,Mgr,15,0,0,61.91544466,0,9,30.70242855
0,11500,22758,36922,DebtCon,Office,7,0,1,103.0481171,0,16,19.0201683
0,11600,64143,78851,DebtCon,Office,6,0,3,201.369922,3,29,35.79580494
0,11600,50433,107092,DebtCon,ProfExe,5,0,1,225.1816913,0,9,24.95259473
0,11600,89205,128462,DebtCon,Office,10,0,0,128.1235975,0,21,37.52332471
0,11600,64510,71105,DebtCon,ProfExe,5,0,0,150.263332,1,34,43.23918712
0,11600,129432,198705,HomeImp,Office,0,0,0,341.0473292,0,16,39.96325851
0,11700,78789,91342,DebtCon,Mgr,5,0,0,128.3606743,2,27,41.9526818
0,11700,47072,85090,HomeImp,Other,18,0,0,192.2531823,0,16,35.06486468
0,11700,52650,63646,DebtCon,Other,0,1,0,194.7609999,1,13,27.61084406
0,11700,59932,80313,HomeImp,Office,14,0,0,238.4864616,0,32,44.4749177
0,11700,74783,86227,DebtCon,Mgr,7,0,0,116.7568005,0,23,28.01922708
0,11700,15163,74500,DebtCon,ProfExe,19,0,2,378.8258185,1,11,20.09078333
0,11700,55119,67931,DebtCon,Mgr,4,0,0,199.4106992,2,16,27.61633851
0,11700,56990,83334,HomeImp,Other,4,0,2,177.4326989,0,13,30.9986945
0,11800,118053,125325,DebtCon,Self,5,0,0,181.1720651,0,18,33.20039733
0,11800,52104,61618,DebtCon,Office,0,0,0,160.7499314,0,21,37.12951204
0,11800,21813,30436,DebtCon,Office,5,0,1,104.0116359,0,16,19.40846123
0,11800,57760,65535,DebtCon,Mgr,11,0,0,108.4694005,1,18,32.78348357
0,11800,86785,125552,DebtCon,Office,11,0,0,148.1764924,1,22,37.88444933
0,11800,32257,59515,DebtCon,Office,23,0,0,231.5999445,0,29,25.70127642
0,11900,44142,54299,HomeImp,Other,22,0,0,123.4711472,0,22,37.1549023
0,11900,56443,86913,DebtCon,Office,12,0,0,119.8594097,0,24,38.86165697
0,11900,56792,64130,DebtCon,Mgr,13,0,0,118.6125902,1,18,32.6657463
0,11900,41009,68211,DebtCon,Office,23,0,0,234.9296174,0,28,28.3910393
0,11900,26601,52544,HomeImp,Other,0,0,0,240.6943608,0,11,40.77567715
0,11900,81849,105403,HomeImp,ProfExe,5,0,1,82.63950538,1,34,36.50598321
0,11900,97506,110902,DebtCon,Other,17,0,1,196.568128,2,15,37.99899138
0,11900,89595,107895,HomeImp,Mgr,9,0,0,250.4682419,0,24,30.30538811
0,12000,84172,123415,DebtCon,Office,9,0,0,139.0184494,1,21,38.58266988
0,12000,63019,74204,DebtCon,Office,6,0,0,98.59173833,2,14,24.49043836
0,12000,76799,83864,DebtCon,Mgr,8,0,0,102.2042743,0,22,27.17193008
0,12000,35028,55079,HomeImp,Other,23,0,1,108.6339686,0,23,40.79745755
0,12000,15756,53079,HomeImp,Office,23,0,0,259.5550444,0,20,29.39747822
0,12000,69796,93757,DebtCon,Office,16,0,1,91.43267591,0,8,24.45938368
0,12000,35721,52938,HomeImp,Other,23,0,1,125.928071,0,22,38.62702499
0,12000,72786,84595,DebtCon,Office,4,2,2,198.7693251,3,30,38.09020903
0,12000,97650,115931,DebtCon,ProfExe,11,0,0,199.828042,1,17,34.38794397
0,12000,88210,114224,DebtCon,ProfExe,8,0,0,203.468979,1,36,41.57297152
1,12000,48189,53969,DebtCon,Other,5,0,0,276.3817427,0,18,65.49524315
0,12000,98428,114820,DebtCon,Other,16,0,1,188.1482082,2,15,36.73772129
0,12100,58556,76724,HomeImp,Other,3,0,1,234.6585447,1,16,37.63925293
0,12100,13218,82386,DebtCon,Other,7,0,0,262.3942543,0,14,18.43047238
0,12100,50100,66410,DebtCon,Other,3,0,0,176.0098643,0,14,28.54860369
0,12100,68941,75029,HomeImp,Office,14,0,0,254.1896555,0,31,43.89784955
0,12100,74594,90555,DebtCon,Mgr,4,0,0,123.7766246,2,27,41.63484731
0,12100,83557,98881,HomeImp,ProfExe,6,0,0,102.2257045,1,26,25.78278709
0,12100,97185,113004,DebtCon,Other,13,0,0,202.6225313,2,15,37.71664611
0,12100,105104,144712,HomeImp,ProfExe,13,0,0,129.5188081,5,22,37.41377466
0,12100,55147,72553,DebtCon,Other,0,0,0,229.4061754,0,10,35.86772963
0,12100,48149,74539,DebtCon,ProfExe,17,0,0,200.0325616,0,15,23.13097189
0,12200,57785,72971,DebtCon,Other,2,0,0,166.8994602,1,16,34.70964393
0,12200,67474,88473,DebtCon,Other,2,0,0,234.7759967,3,26,29.09729879
0,12200,206613,232176,HomeImp,ProfExe,10,0,1,237.3157697,0,22,30.68943921
0,12200,45095,64736,DebtCon,Other,9,0,0,249.6737711,0,18,31.63530262
0,12200,82904,125057,DebtCon,Office,8,0,0,131.6590526,1,21,37.27313999
0,12200,61302,90873,DebtCon,Other,2,0,0,35.97354161,1,4,39.97361316
0,12200,57112,76050,DebtCon,Other,1,0,0,235.2292688,0,9,35.11318533
0,12200,90154,110479,DebtCon,ProfExe,9,0,0,196.9264059,2,37,43.1890315
0,12300,89333,106107,HomeImp,Other,19,0,0,120.2578861,3,24,28.77470213
1,12300,24552,48278,DebtCon,Other,0,0,0,171.0751046,0,16,29.29955094
1,12300,48238,66603,HomeImp,Office,6,0,1,80.38898294,1,11,40.01910455
0,12300,69499,104045,DebtCon,Other,8,0,0,219.0904891,0,20,18.58475695
0,12300,52622,64407,DebtCon,Other,0,0,0,191.0774254,1,13,26.20306729
0,12300,152274,177940,HomeImp,Office,4,0,0,196.8767577,0,56,33.72276915
0,12300,81590,90050,DebtCon,Mgr,6,0,0,136.7467587,1,26,41.73267582
0,12300,35651,59795,HomeImp,Other,22,0,0,118.6530642,0,23,40.66298165
0,12300,141020,157511,HomeImp,ProfExe,4,0,1,403.7489298,0,43,29.58318425
0,12300,92573,119325,DebtCon,ProfExe,2,1,2,157.6206429,0,33,34.77510251
0,12400,132894,198168,HomeImp,Office,0,0,1,355.1639113,0,16,40.54029537
0,12400,80510,97548,HomeImp,ProfExe,1,0,0,74.40426333,1,19,36.45734993
0,12400,26768,52411,HomeImp,Other,0,0,0,253.3180433,0,11,38.82102132
0,12400,203902,234454,HomeImp,ProfExe,9,0,0,213.4554475,0,22,33.64852105
0,12400,36034,62953,DebtCon,ProfExe,9,0,0,262.0793453,0,16,21.34522735
0,12400,115902,146813,DebtCon,ProfExe,1,0,0,288.4676266,0,45,33.05428433
1,12400,50573,84008,DebtCon,Other,15,1,0,76.04208693,0,7,41.02796675
0,12400,24769,87665,HomeImp,ProfExe,21,0,0,238.3827694,0,11,25.33220131
0,12500,37562,57081,HomeImp,Other,22,0,1,129.486844,0,23,39.08300244
1,12500,69117,101503,HomeImp,ProfExe,13,0,7,145.9530178,0,36,36.75998466
0,12500,57294,66615,DebtCon,Other,3,0,1,321.3875868,0,9,31.38089909
0,12500,101047,118913,HomeImp,Office,2,0,0,156.6054917,1,22,35.89928784
0,12500,79900,94660,DebtCon,Mgr,19,0,0,252.3496982,10,24,35.80049203
0,12500,50097,73846,DebtCon,Other,1,0,0,267.8654583,0,20,29.15960949
0,12500,66163,83727,DebtCon,Office,4,1,2,176.9352475,3,30,36.77463995
0,12500,81865,101048,DebtCon,Other,1,0,0,147.4022274,0,23,38.85516272
0,12500,77937,89710,DebtCon,Mgr,19,0,0,223.5874152,10,24,35.95199865
0,12500,56791,72974,HomeImp,Other,29,0,3,182.0664052,0,24,35.69162282
0,12600,80612,93802,DebtCon,Mgr,5,0,0,141.6131456,2,26,40.74903888
0,12600,83921,90876,DebtCon,Other,3,0,0,106.9373967,1,32,41.47300108
0,12600,125688,198602,HomeImp,Office,0,0,1,344.7479335,0,16,39.48382007
0,12600,67860,103426,DebtCon,Other,9,0,0,202.1526339,0,20,18.34752939
0,12600,100590,138649,HomeImp,ProfExe,14,0,0,138.1647046,4,22,34.5987274
0,12600,85335,97094,DebtCon,Other,2,0,0,116.086609,1,32,40.84524619
0,12600,76002,94236,DebtCon,Other,11,0,0,164.7623042,5,21,39.52570494
0,12600,49986,67896,DebtCon,Mgr,3,0,0,190.1599072,1,17,29.26631718
0,12700,149272,176467,HomeImp,Office,7,0,0,191.9044636,1,55,33.90232001
0,12700,29471,48362,HomeImp,Other,9,0,0,79.90287141,0,4,36.0206079
1,12700,30428,47387,DebtCon,ProfExe,2,0,0,164.4900213,0,36,38.8741586
0,12700,58293,82594,DebtCon,Office,13,0,0,105.050415,0,23,36.70044554
0,12700,130867,201245,HomeImp,Office,0,0,1,340.7953444,0,15,40.16882702
0,12700,61840,73541,DebtCon,ProfExe,1,0,0,157.8924467,2,35,41.65169171
0,12700,72164,104220,DebtCon,Office,10,0,0,165.4307821,0,13,37.53996336
0,12700,48139,64842,DebtCon,Other,0,1,0,192.4791522,2,13,26.54684008
0,12700,53199,82567,HomeImp,Other,3,0,1,185.3250354,0,13,27.39038041
0,12700,58606,83010,DebtCon,Other,1,0,0,125.3258854,3,11,35.99961072
0,12800,99160,114619,HomeImp,Office,2,0,0,142.2125619,0,22,35.94987705
0,12800,66293,92423,HomeImp,Office,27,0,0,169.7238883,1,14,41.23216256
0,12800,49349,70078,DebtCon,Other,9,0,0,240.9080591,0,17,31.75405395
0,12800,56516,78392,HomeImp,Other,0,0,1,195.7233219,0,13,27.33744139
0,12800,73624,103213,DebtCon,Other,10,0,0,201.6508442,0,20,19.55727283
0,12800,206527,227737,HomeImp,ProfExe,11,0,0,225.2013256,0,22,31.12184071
0,12800,48437,65311,DebtCon,Other,0,1,0,260.5552362,0,21,29.51628985
0,12800,76783,95007,DebtCon,Mgr,6,0,0,140.9720223,2,26,42.15361693
0,12800,46043,62531,DebtCon,Other,4,0,0,183.9821005,0,13,26.10080257
0,12800,42801,51123,HomeImp,Other,23,0,1,127.839662,0,22,39.38959461
0,12800,75139,105289,HomeImp,ProfExe,8,0,0,151.8511659,0,35,31.21070474
0,12800,77318,97616,DebtCon,Mgr,6,0,0,125.5348018,2,27,39.46266339
0,12800,29100,39264,HomeImp,Other,7,0,0,93.39500247,2,12,31.28306102
0,12800,81694,101680,DebtCon,Other,0,0,0,159.3541041,1,22,40.1115783
0,12900,39401,53758,HomeImp,Other,22,0,0,118.6463752,0,23,38.68944062
0,12900,105638,112608,DebtCon,Other,17,0,2,208.3068822,2,16,39.67790581
0,12900,151991,179521,HomeImp,Office,6,0,0,186.8053299,0,55,34.19175206
0,12900,102905,117694,HomeImp,Office,1,0,0,137.1424731,1,21,35.86546621
0,12900,90646,100744,HomeImp,Other,19,0,0,141.2084606,3,23,31.52637971
0,12900,67038,110955,DebtCon,Office,9,0,0,147.1974137,0,12,37.08598608
0,12900,31498,42695,HomeImp,Mgr,14,0,0,55.02158895,0,9,31.99275348
0,12900,149297,177044,HomeImp,Office,4,0,0,205.8739212,0,56,34.97573417
0,12900,88304,122178,DebtCon,Office,10,0,0,223.4548548,0,12,41.42995887
0,12900,50636,57838,DebtCon,Other,0,1,0,187.8253233,1,13,28.81347094
0,12900,19688,77998,DebtCon,ProfExe,20,0,2,407.2611669,0,12,22.83907899
0,12900,70167,90812,HomeImp,Office,25,0,0,177.0806266,2,13,40.22569567
0,12900,56798,71364,DebtCon,Other,1,0,0,225.5857631,0,9,33.02128407
0,12900,61031,71550,HomeImp,Other,28,0,2,178.0872568,0,23,34.80242878
0,13000,81972,102295,HomeImp,ProfExe,5,0,0,107.4206093,0,26,24.72083108
0,13000,61509,77065,DebtCon,Other,6,0,0,172.8544902,2,17,35.39086131
1,13000,29461,49326,HomeImp,ProfExe,11,0,0,171.5976685,1,8,38.91799988
0,13000,78766,106450,HomeImp,ProfExe,6,0,0,107.9513117,0,26,24.87099388
0,13000,67395,94355,DebtCon,Office,8,0,0,214.4844926,3,28,40.97046682
0,13000,53951,70095,HomeImp,Other,28,0,3,212.3869245,1,24,36.72874424
0,13000,16913,48587,HomeImp,Office,23,0,0,264.9921562,0,20,30.62263556
1,13000,125969,144076,DebtCon,Other,4,0,0,110.1931963,2,30,48.9777317
0,13000,66014,85528,DebtCon,Office,4,2,3,185.6449939,2,30,39.41871848
0,13000,61865,72045,DebtCon,ProfExe,0,0,0,172.6966846,2,34,42.56558229
0,13000,80277,106799,DebtCon,Other,3,0,0,67.11166592,2,14,37.29777299
0,13100,48153,70059,DebtCon,Other,11,0,0,242.6505336,0,18,30.89311822
0,13100,59608,72561,HomeImp,Other,30,1,2,195.5387113,1,24,36.61107299
0,13100,69259,75149,DebtCon,Office,11,0,0,240.4102919,3,37,40.73560441
0,13100,70368,87407,DebtCon,Other,2,0,0,232.9947127,3,26,29.66798564
0,13100,50552,59889,DebtCon,Other,4,0,0,178.6123626,0,13,38.76331381
0,13100,59460,72387,HomeImp,Other,29,1,2,182.1817822,0,24,34.78513256
0,13100,58039,68558,HomeImp,Other,29,1,2,184.8800106,1,23,37.34734877
0,13200,69195,79252,DebtCon,Office,13,0,0,248.7881304,3,37,41.90560462
0,13200,69697,91722,HomeImp,Office,24,1,0,183.5237293,1,14,39.75217179
0,13200,93254,125738,HomeImp,Mgr,3,0,3,156.5454512,0,25,42.73666557
0,13200,22270,38437,DebtCon,Office,5,0,1,107.7733867,0,17,20.64319968
0,13200,71775,80480,DebtCon,Other,0,0,0,240.6435766,3,25,29.26799242
0,13300,96201,124892,HomeImp,Mgr,3,0,3,178.0344633,0,26,40.10275183
1,13300,67483,85454,DebtCon,ProfExe,16,0,2,335.9893152,1,14,30.37586285
0,13300,35000,44195,HomeImp,Other,8,0,0,91.92352891,0,4,35.24312086
0,13300,44509,72292,HomeImp,ProfExe,3,0,0,208.9206936,3,17,37.05572455
0,13300,81574,103760,HomeImp,ProfExe,6,0,0,118.918494,0,27,24.76962193
0,13300,74609,115056,DebtCon,Other,6,0,0,77.4451063,2,14,36.86921264
0,13300,66502,78138,DebtCon,Other,4,0,0,178.1121065,1,16,33.79509124
0,13300,50039,63784,DebtCon,Other,3,0,0,176.8461955,0,13,27.86558873
1,13300,25698,58760,HomeImp,Self,15,0,0,147.9109824,1,10,30.96207665
1,13400,131524,148356,DebtCon,Other,4,1,0,110.7417416,2,29,48.34023474
0,13400,53294,69042,DebtCon,Other,0,0,0,214.3620435,0,9,36.30954976
0,13400,9698,65524,HomeImp,Other,9,1,0,345.5431065,1,21,15.76191917
0,13400,98701,129679,HomeImp,ProfExe,10,0,0,179.127926,2,32,29.54928351
0,13400,94102,114147,HomeImp,Office,2,0,0,137.707783,0,21,36.80162473
0,13400,65662,92050,DebtCon,Other,2,0,0,20.7592153,1,3,42.00939008
0,13400,60174,81944,DebtCon,Other,1,0,0,125.3854461,3,9,36.22986386
0,13400,66737,71117,DebtCon,ProfExe,0,0,0,163.1318589,2,34,40.94386627
0,13500,68262,93841,HomeImp,Office,26,0,0,159.61702,1,14,40.75298037
0,13500,59941,69336,HomeImp,Other,29,1,2,182.6956696,1,24,35.51267298
0,13500,71698,93536,DebtCon,Other,6,0,0,202.4658818,2,19,42.81473465
0,13500,44586,73764,DebtCon,Other,2,0,0,263.9311707,0,21,29.96620202
0,13500,89184,116848,DebtCon,ProfExe,13,0,0,174.5064082,1,18,36.01089152
0,13500,116123,145597,DebtCon,ProfExe,3,0,0,290.3107749,0,46,34.69906743
0,13500,48832,144065,DebtCon,Other,1,0,0,268.5867999,4,43,42.69239671
0,13500,124696,200707,HomeImp,Office,0,0,1,348.669492,0,16,39.55070302
0,13600,64799,84425,DebtCon,Office,14,0,0,115.3238836,0,24,36.85085748
0,13600,115816,212995,HomeImp,ProfExe,1,0,0,114.8430305,1,14,26.3251112
0,13600,58539,67899,HomeImp,Other,29,1,2,194.2738338,1,23,37.13442194
0,13600,66098,76014,HomeImp,Office,12,0,0,245.6056956,1,32,43.39620459
0,13600,90519,110885,DebtCon,Other,12,0,0,201.8355908,3,16,39.66605441
0,13600,12724,52016,HomeImp,Office,24,0,1,269.6287109,0,19,28.17242611
0,13600,101377,131079,HomeImp,ProfExe,10,0,0,174.3477876,2,32,27.96913798
0,13600,39997,56571,DebtCon,Other,6,0,0,111.0078189,2,15,38.77313698
0,13600,112223,144451,DebtCon,ProfExe,0,0,0,259.733117,1,45,35.31021701
0,13700,81378,108628,HomeImp,ProfExe,12,0,2,181.7225343,0,27,32.65202263
0,13700,89345,105590,DebtCon,ProfExe,6,0,0,201.0424021,2,37,43.47167729
0,13700,80300,98088,HomeImp,ProfExe,1,0,0,66.72394684,0,20,36.5165325
0,13700,27536,45819,HomeImp,Other,7,0,0,73.45576587,2,12,28.70919291
0,13700,70018,89803,HomeImp,Office,24,0,0,154.7521209,1,13,39.38990883
0,13700,86161,106737,HomeImp,Other,22,0,0,135.3327036,4,23,29.40952403
0,13700,12577,41075,DebtCon,Mgr,7,0,0,133.5420141,0,10,22.96477273
0,13700,32942,40143,HomeImp,Other,8,0,0,65.00074225,2,12,30.26836885
0,13700,96597,120380,DebtCon,ProfExe,13,0,0,181.4048504,1,17,34.31543721
0,13700,84996,112522,HomeImp,ProfExe,9,0,1,171.9534106,0,28,32.84350491
0,13700,46611,65031,DebtCon,Other,2,0,0,179.4433323,0,13,37.70515917
0,13700,59530,81068,DebtCon,Other,0,0,0,108.0191417,3,10,37.84664809
0,13800,73688,94071,DebtCon,Office,9,0,0,221.2231427,2,28,41.48214297
0,13800,76537,108747,DebtCon,Other,5,0,0,73.07523809,1,14,34.2526057
0,13800,31974,44417,HomeImp,Other,7,0,0,76.93312296,1,12,30.42242943
0,13800,21711,32357,DebtCon,Office,7,0,0,105.6662342,0,17,20.3331556
0,13800,85969,101664,HomeImp,ProfExe,0,0,0,68.58368974,0,19,36.83942264
0,13800,67762,80748,DebtCon,Sales,8,0,0,135.9486225,0,35,27.19410701
1,13800,97778,116814,DebtCon,Other,15,1,3,120.7813962,1,22,23.20471329
0,13900,64356,88028,DebtCon,Office,13,0,0,111.8099755,0,24,39.00850812
0,13900,96326,144668,HomeImp,ProfExe,15,0,0,142.0379034,5,21,34.12275351
0,13900,65437,94518,DebtCon,ProfExe,10,0,0,182.4007551,0,19,21.29607532
0,13900,80960,100730,DebtCon,Other,0,0,0,153.0875555,0,22,40.19530694
1,13900,144263,167164,DebtCon,ProfExe,8,2,6,111.5886033,5,38,91.61259998
0,13900,95351,117381,DebtCon,Office,12,0,0,210.2021295,0,11,41.01100137
0,13900,80836,93912,DebtCon,Other,5,2,0,69.26840914,0,20,23.91634661
0,13900,127259,194233,HomeImp,Office,1,0,1,341.6435017,0,16,40.10765909
0,13900,77007,96718,DebtCon,ProfExe,8,2,0,183.6086672,0,30,26.43131452
0,13900,50415,68166,DebtCon,Other,10,0,0,235.680967,0,17,33.77003753
0,13900,33403,69878,DebtCon,ProfExe,8,0,0,259.8132832,1,16,23.73521616
0,14000,51721,61193,DebtCon,Other,0,0,0,186.9993588,2,12,25.81001106
0,14000,46541,64338,DebtCon,Other,0,0,0,204.4094433,1,12,28.36479851
0,14000,59736,97411,DebtCon,ProfExe,7,0,0,200.1553656,1,19,20.11698203
0,14000,73062,88783,DebtCon,Other,6,0,0,211.1025521,2,18,42.25458004
0,14000,43173,65985,HomeImp,ProfExe,5,0,0,215.9858947,3,18,37.14869173
0,14100,36309,53321,HomeImp,Other,8,0,0,110.2063505,1,10,19.18791401
1,14100,52302,63589,HomeImp,ProfExe,6,0,0,130.3424672,4,8,34.79283165
0,14100,51723,77207,DebtCon,ProfExe,21,0,0,199.533048,0,15,25.09214722
0,14100,81894,98285,DebtCon,Mgr,6,0,0,151.4710746,1,26,42.28213788
0,14100,49927,67761,DebtCon,Mgr,26,0,0,276.5499132,1,16,36.59939111
1,14100,61036,84979,HomeImp,Mgr,1,0,0,174.5911708,2,23,50.27621494
0,14200,34558,40754,HomeImp,Other,8,0,0,76.43121321,2,11,31.04118388
0,14200,94696,121528,DebtCon,Office,10,0,0,209.0518045,0,12,39.64882408
0,14200,46320,62044,DebtCon,Other,6,0,0,106.9838955,2,49,29.05790842
0,14200,73533,88924,DebtCon,Mgr,21,0,0,232.353323,10,23,36.47070702
0,14200,60570,74648,DebtCon,ProfExe,2,0,0,137.8411053,2,35,40.2897613
0,14200,83231,99400,HomeImp,ProfExe,6,0,0,130.1675148,1,26,27.17296471
0,14300,19111,49794,HomeImp,Office,23,0,0,262.3067403,0,19,30.93367839
0,14300,67018,81805,DebtCon,Other,1,0,0,253.5924509,3,25,30.68621875
0,14300,93989,117410,DebtCon,Office,10,0,0,220.899221,0,12,39.87750077
0,14300,85478,113372,DebtCon,ProfExe,9,0,0,190.7530437,1,36,40.77814232
0,14300,70322,88626,DebtCon,Other,3,0,0,244.8398642,2,26,32.64754112
0,14300,89984,121189,HomeImp,Mgr,4,0,2,137.5978233,0,25,41.61332522
0,14400,63671,70982,DebtCon,ProfExe,0,0,0,169.346647,1,34,42.79163252
0,14400,20996,41987,DebtCon,Mgr,9,0,0,120.9555144,0,10,21.11871262
0,14400,78965,90729,DebtCon,Mgr,4,0,0,132.6602719,2,26,39.68695911
0,14400,89605,106290,HomeImp,Other,20,0,0,121.7476008,4,24,29.30354901
0,14400,80123,102223,DebtCon,ProfExe,9,2,0,176.418283,0,30,27.64495462
0,14400,111914,142105,DebtCon,ProfExe,3,0,0,284.516966,1,46,32.91138466
0,14500,52440,62150,DebtCon,Other,4,0,0,174.6769004,0,13,27.19172091
0,14500,71511,88632,DebtCon,Other,9,0,0,85.74814912,2,11,31.54781167
0,14500,35799,51720,HomeImp,Other,10,0,0,123.218105,1,9,18.32493528
0,14500,67956,80318,DebtCon,Other,1,0,0,233.3972732,2,26,31.31641542
0,14500,67631,89458,DebtCon,Other,4,0,0,24.95552961,1,4,39.10372517
0,14500,78503,90558,DebtCon,Mgr,19,0,0,250.4522894,10,24,36.87623453
0,14600,15411,50493,HomeImp,Office,24,0,0,259.7468906,0,19,30.56871339
0,14600,58229,74027,DebtCon,Other,2,0,0,228.560354,0,9,34.12424228
0,14600,28050,49244,HomeImp,Other,9,0,0,122.1166394,1,9,20.82876656
0,14600,16535,46993,HomeImp,Office,24,0,0,260.8915332,0,20,28.1898371
0,14600,6871,52457,DebtCon,ProfExe,4,0,0,317.2440017,0,16,17.61790872
0,14600,51613,77912,DebtCon,Office,0,0,0,182.8825754,0,25,32.22445241
0,14700,30306,44195,HomeImp,Other,9,0,1,87.43122628,2,12,29.40493516
